t uw pulse,prop,prop_err
0.0,3.2585128276932473e-05,0.0
2.0,0.23635656038527905,0.0
4.0,0.65891614619197258,0.0
6.0,0.94095673135565894,0.0
8.0,0.95311686547317687,0.0
10.0,0.65976130196358374,0.0
12.0,0.26052810883096078,0.0
14.0,0.015867425237046481,0.0
16.0,0.27756802099555361,0.0
18.0,0.67051557963036745,0.0
20.0,0.99682018670806416,0.0
22.0,0.93364770497363314,0.0
