tof^2,N Na_0,N Na_0_err,N Na_1,N Na_1_err,N Na_2,N Na_2_err
16.0,247706.92860980341,9107.0476333998668,220022.29200952814,2389.6373253416532,54582.992911781963,4048.9880813318391
64.0,151250.77990015829,1811.1954025161394,--,--,--,--
100.0,132143.09589342825,0.0,195852.00527339632,2359.7615900206001,60136.386927723121,0.0
225.0,--,--,--,--,38019.216145338854,2493.2693821688299
400.0,--,--,184423.98523424176,0.0,--,--
