tof^2,avg s^2_0,avg s^2_0_err,avg s^2_1,avg s^2_1_err,avg s^2_2,avg s^2_2_err
16.0,6.341086620096366,0.057825215639613958,3.5915330188572758,0.0013412522871392163,1.4059190708224032,0.028637339538214089
64.0,11.48876832097633,0.44943901610920367,--,--,--,--
100.0,15.235083327168438,0.0,3.6417138968401219,0.00139607666595154,2.7492174517989745,0.0
225.0,--,--,--,--,3.8959791697307233,0.15449228871427878
400.0,--,--,4.4071156004586944,0.0,--,--
